"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://adavacare.com/","text/html; charset=UTF-8","200","OK","Indexable","","101","0.194","",""
"https://adavacare.com/wp-content/uploads/2025/12/Glendale-10-1024x683.jpg","image/jpeg","200","OK","Indexable","","0","0.199","",""
"https://adavacare.com/wp-content/uploads/2025/12/IMG_0844.jpeg","image/jpeg","200","OK","Indexable","","0","0.207","",""
"https://www.indeed.com/cmp/Adava-Care","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","145","0.182","",""
"https://app.termly.io/policy-viewer/policy.html?policyUUID=e04588ea-486d-42f4-8bde-8d2a14001b91","text/html; charset=utf-8","200","OK","Indexable","","45","0.291","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-join-team-img-1.jpg","image/jpeg","200","OK","Indexable","","0","0.307","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-Adava-Care-of-Pewaukee-img.jpg","image/jpeg","200","OK","Indexable","","0","0.187","",""
"https://www.facebook.com/adavacare","text/html; charset=""utf-8""","200","OK","Indexable","","24","0.380","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-Adava-Care-of-Irish-Road-img.jpg","image/jpeg","200","OK","Indexable","","0","0.251","",""
"https://adavacare.com/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","140","0.242","",""
"https://adavacare.com/wp-content/uploads/2024/11/adavacare-logo-drk-3-1024x348.png","image/png","200","OK","Indexable","","0","0.217","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-hartland-hero-img-1-1024x683.jpg","image/jpeg","200","OK","Indexable","","0","0.184","",""
"https://adavacare.com/magnolia-house/","text/html; charset=UTF-8","200","OK","Indexable","","140","2.637","",""
"https://cdn.trustindex.io/loader.js?ver=1","text/javascript","200","OK","Indexable","","0","0.047","",""
"https://adavacare.com/wp-content/uploads/2024/11/adavacare-logo-main-1024x348.png","image/png","200","OK","Indexable","","0","0.225","",""
"https://adavacare.com/blog/","text/html; charset=UTF-8","200","OK","Indexable","","139","3.531","",""
"https://app.termly.io/policy-viewer/policy.html?policyUUID=ea5d112c-b1e2-4a5b-ba95-3cfa38a810dd","text/html; charset=utf-8","200","OK","Indexable","","45","0.253","",""
"https://adavacare.com/adava-care-hartland/","text/html; charset=UTF-8","200","OK","Indexable","","142","3.107","",""
"https://adavacare.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","145","0.179","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-Adava-Care-of-Oak-Creek-img.jpg","image/jpeg","200","OK","Indexable","","0","0.289","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-our-mission-img-1.jpg","image/jpeg","200","OK","Indexable","","0","0.206","",""
"https://adavacare.com/wabash-assisted-living/","text/html; charset=UTF-8","200","OK","Indexable","","141","3.419","",""
"https://adavacare.com/adava-care-of-glendale-assisted-living/","text/html; charset=UTF-8","200","OK","Indexable","","142","0.261","",""
"https://asymmetric.pro/","text/html; charset=UTF-8","200","OK","Indexable","","45","0.178","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-Adava-Care-of-St-Francis-img.jpg","image/jpeg","200","OK","Indexable","","0","0.185","",""
"https://www.googletagmanager.com/ns.html?id=GTM-KP6KCS3","text/html; charset=UTF-8","200","OK","Indexable","","0","0.193","",""
"https://adavacare.com/adava-care-of-neenah/","text/html; charset=UTF-8","200","OK","Indexable","","141","3.800","",""
"https://adavacare.com/wp-content/uploads/2025/12/Magnolia-House.jpg","image/jpeg","200","OK","Indexable","","0","0.304","",""
"https://adavacare.com/frequently-asked-questions-faq/","text/html; charset=UTF-8","200","OK","Indexable","","139","0.334","",""
"https://adavacare.com/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js","application/javascript","200","OK","Indexable","","0","0.372","",""
"https://adavacare.com/accessibility-statement/","text/html; charset=UTF-8","200","OK","Indexable","","50","3.301","",""
"https://app.termly.io/policy-viewer/policy.html?policyUUID=dcdd48e3-f701-449e-8b0f-5014f0c19215","text/html; charset=utf-8","200","OK","Indexable","","45","0.338","",""
"https://app.termly.io/policy-viewer/policy.html?policyUUID=cc3d8912-91a7-4838-a517-3b4ba026a647","text/html; charset=utf-8","200","OK","Indexable","","45","0.257","",""
"https://adavacare.com/wp-content/uploads/2024/11/ad-home-img-1.jpg","image/jpeg","200","OK","Indexable","","0","0.160","",""
"https://adavacare.com/fardale-home/","text/html; charset=UTF-8","200","OK","Indexable","","142","2.655","",""
"https://adavacare.com/wp-content/uploads/2025/12/IMG_1208-1024x588.jpg","image/jpeg","200","OK","Indexable","","0","0.168","",""
"https://adavacare.com/adava-care-of-pewaukee/","text/html; charset=UTF-8","200","OK","Indexable","","141","0.261","",""
"https://adavacare.com/wp-content/uploads/2024/11/adavacare-logo-wht.png","image/png","200","OK","Indexable","","0","0.198","",""
"https://adavacare.com/adava-care-of-irish-road/","text/html; charset=UTF-8","200","OK","Indexable","","142","0.320","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-neenah-hero-img-1-1024x683.jpg","image/jpeg","200","OK","Indexable","","0","0.167","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-40.jpg","image/jpeg","200","OK","Indexable","","0","0.157","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-42.jpg","image/jpeg","200","OK","Indexable","","0","0.155","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-38.jpg","image/jpeg","200","OK","Indexable","","0","0.174","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-37.jpg","image/jpeg","200","OK","Indexable","","0","0.179","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-36.jpg","image/jpeg","200","OK","Indexable","","0","0.169","",""
"https://adavacare.com/careers/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","1.406","https://adavacare.com/","HTTP Redirect"
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-39.jpg","image/jpeg","200","OK","Indexable","","0","0.166","",""
"https://adavacare.com/adava-care-of-st-francis-assisted-living/","text/html; charset=UTF-8","200","OK","Indexable","","141","2.223","",""
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-41.jpg","image/jpeg","200","OK","Indexable","","0","0.199","",""
"https://maps.google.com/maps?q=Adava%20Care%20of%20Irish%20Road&t=m&z=15&output=embed&iwloc=near","text/html","301","Moved Permanently","Non-Indexable","Redirected","0","0.244","https://www.google.com/maps/embed?origin=mfe&pb=!1m4!2m1!1sAdava+Care+of+Irish+Road!5e0!6i15","HTTP Redirect"
"https://adavacare.com/wp-content/uploads/2024/12/ad-img-68a.jpg","image/jpeg","200","OK","Indexable","","0","0.170","",""
